unitid,iheName,MSI_Flag,studentsRecipientsTotal,eligibleStudentsTotal,studentPortionDisbursedTotal,avgStudentAward,pct_eligible_who_received_aid_by_inst,pct_enrolled_who_received_aid_by_inst,pct_enrolled_who_were_eligible,pctPell,pct_received_who_are_pell,eligiblePellUG,eligibleNonPellUG,eligibleUG,receivedPellUG,receivedNonPellUG,receivedUG
420705,BAKKE GRADUATE UNIVERSITY,0,NA,8,1331,NA,NA,NA,5.594405594405594,NA,NA,0,0,0,0,0,NA
459523,ABC BEAUTY ACADEMY,0,NA,NA,75257.72,NA,NA,NA,NA,0.447,NA,NA,NA,NA,NA,NA,NA
388520,COLLEGE OF BIBLICAL STUDIES - HOUSTON,1,84,392,142673,1698.4880952380952,21.428571428571427,21.93211488250653,102.34986945169713,NA,69.04761904761905,223,169,392,58,26,84
366261,COMMONWEALTH INSTITUTE OF FUNERAL SERVICE,0,29,49,32045,1105,59.183673469387756,9.294871794871796,15.705128205128204,0.548,NA,NA,NA,NA,NA,NA,NA
229337,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,1,980,5081,938916,958.0775510204081,19.28754182247589,13.397129186602871,69.46001367054,NA,30.275229357798167,327,1233,1560,66,152,218
227216,UNIVERSITY OF NORTH TEXAS,1,12611,30087,11170849.91,885.8020704147174,41.91511283943231,28.685485521916153,68.43709482974319,0.383,50.96518441916581,13312,12996,26308,5914,5690,11604
224271,DALLAS INSTITUTE OF FUNERAL SERVICE,0,189,190,110935,586.957671957672,99.47368421052632,51.63934426229508,51.91256830601093,0.382,NA,151,39,190,NA,NA,189
369783,PRINCE CAREER'S INC,0,262,262,627600,2395.4198473282445,100,34.473684210526315,34.473684210526315,0.876,NA,NA,NA,262,NA,NA,262
441788,"TECHNICAL EDUCATION SERVICES, INC.",0,548,548,512059,934.4142335766423,100,60.552486187845304,60.552486187845304,0.414,58.3941605839416,320,228,548,320,228,548
377218,SCHOOL OF AUTOMOTIVE MACHINISTS & TECHNOLOGY,0,134,142,165456,1234.7462686567164,94.36619718309859,57.02127659574469,60.42553191489362,0.588,61.940298507462686,88,54,142,83,51,134
365204,"COMPUTER CAREER CENTER, LP",0,3270,3270,6248771.38,1910.939259938838,100,59.56284153005464,59.56284153005464,0.703,90.82568807339449,2970,300,3270,2970,300,3270
458043,"DUVALLS SCHOOL OF COSMETOLOGY, LLC",0,70,70,97694,1395.6285714285714,100,38.88888888888889,38.88888888888889,0.579,58.57142857142858,41,29,70,41,29,70
246354,PALO ALTO COLLEGE,1,2720,5154,1615469,593.9224264705882,52.77454404346139,16.336336336336334,30.954954954954957,0.674,97.31617647058823,4175,979,NA,2647,73,2720
434274,ACADEMY OF HAIR DESIGN,0,65,65,126613,1947.8923076923077,100,45.13888888888889,45.13888888888889,0.792,100,65,NA,65,65,0,65
437608,"ADVANCED BARBER COLLEGE & HAIR DESIGN, INC.",0,145,145,167737,1156.806896551724,100,58.94308943089431,58.94308943089431,0.86,NA,NA,NA,NA,NA,NA,NA
225991,"KD CONSERVATORY, COLLEGE OF FILM & DRAMATIC ARTS",0,54,93,51400,951.8518518518518,58.06451612903226,39.130434782608695,67.3913043478261,0.771,79.62962962962963,43,50,93,43,11,54
228787,THE UNIVERSITY OF TEXAS AT DALLAS,0,5573,21912,9566094,1716.5070877444823,25.433552391383717,17.737674655463252,69.74123937744677,0.258,59.839969518003436,7596,11359,18955,3141,2108,5249
229018,THE UNIVERSITY OF TEXAS PERMIAN BASIN,1,590,3814,1412600,2394.237288135593,15.46932354483482,7.225964482547459,46.7115737905695,0.411,67.01940035273368,1882,1272,3154,380,187,567
229027,THE UNIVERSITY OF TEXAS AT SAN ANTONIO,1,16390,32388,17224949,1050.942586943258,50.60516240582932,45.839742693329605,90.58313522584254,0.447,61.20813642901172,17023,12159,29182,8937,5664,14601
228802,THE UNIVERSITY OF TEXAS AT TYLER,0,1401,5244,2597305,1853.893647394718,26.716247139588102,11.400439417365122,42.67230856863862,0.304,67.58928571428572,2012,1830,3842,757,363,1120
