UNITID,iheName,MSI_Flag,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,studentsRecipientsTotal,eligibleStudentsTotal,studentPortionDisbursedTotal,avgStudentAward,pct_eligible_who_received_aid_by_inst,pct_enrolled_who_received_aid_by_inst,pct_enrolled_who_were_eligible,pctPell,pct_received_who_are_pell,eligiblePellUG,eligibleNonPellUG,eligibleUG,receivedPellUG,receivedNonPellUG,receivedUG,INSTNM,ADDR,CITY,STABBR,ZIP,FIPS,OPEID,SECTOR,ICLEVEL,CONTROL,INSTCAT,LANDGRNT,INSTSIZE,LOCALE,POSTSEC,LONGITUD,LATITUDE,FT_Previous_Cohort_2017,FT_Previous_Cohort_2018,FT_Previous_Cohort_2019,FT_Previous_Cohort_2020,FT_Previous_Cohort_2021,FT_Previous_Cohort_Adj_2017,FT_Previous_Cohort_Adj_2018,FT_Previous_Cohort_Adj_2019,FT_Previous_Cohort_Adj_2020,FT_Previous_Cohort_Adj_2021,FT_Retention_N_2017,FT_Retention_N_2018,FT_Retention_N_2019,FT_Retention_N_2020,FT_Retention_N_2021,FT_Retention_Rate_2017,FT_Retention_Rate_2018,FT_Retention_Rate_2019,FT_Retention_Rate_2020,FT_Retention_Rate_2021,New_Cohort_2017,New_Cohort_2018,New_Cohort_2019,New_Cohort_2020,New_Cohort_2021,New_UG_2017,New_UG_2018,New_UG_2019,New_UG_2020,New_UG_2021,PT_Previous_Cohort_2017,PT_Previous_Cohort_2018,PT_Previous_Cohort_2019,PT_Previous_Cohort_2020,PT_Previous_Cohort_2021,PT_Previous_Cohort_Adj_2017,PT_Previous_Cohort_Adj_2018,PT_Previous_Cohort_Adj_2019,PT_Previous_Cohort_Adj_2020,PT_Previous_Cohort_Adj_2021,PT_Retention_N_2017,PT_Retention_N_2018,PT_Retention_N_2019,PT_Retention_N_2020,PT_Retention_N_2021,PT_Retention_Rate_2017,PT_Retention_Rate_2018,PT_Retention_Rate_2019,PT_Retention_Rate_2020,PT_Retention_Rate_2021
227526,PRAIRIE VIEW A&M UNIVERSITY,1,1,0,0,0,0,0,0,7152,9800,10666624,1491.418345,72.97959184,67.69522007,92.75911027,0.705,69.5329874,5881,3145,9026,4690,2055,6745,Prairie View A & M University,FM 1098 Road & University Drive,Prairie View,TX,77446,48,363000,"Public, 4-year or above",Four or more years,Public,"Degree-granting, primarily baccalaureate or above",Land Grant Institution,"5,000 - 9,999",Town: Distant,1,-95.989475,30.092425,1823,2043,2176,1687,1718,1821,2043,2175,1687,1718,1290,1503,1442,1250,1284,71,74,66,74,75,2047,2176,1687,1807,1754,2598,2696,2158,2344,2373,16,8,1,40,50,16,8,1,40,50,15,4,0,5,8,94,50,0,13,16
246415,UCAS UNIVERSITY OF COSMETOLOGY ARTS & SCIENCES,0,0,0,0,0,0,0,0,25,25,74644.83,2985.7932,100,25.77319588,25.77319588,NA,100,25,0,25,25,0,25,UCAS University of Cosmetology Arts & Sciences-San Antonio 410,"4522 Fredericksburg Rd, A-85",San Antonio,TX,78201,48,2326000,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, sub-baccalaureate",Not a Land Grant Institution,"Under 1,000",Suburb: Large,1,-98.551137,29.493246,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,25,25,25,25,25,25,25,25,10,10,10,10,10,40,40,40,40,40
484136,YAHWEH BEAUTY ACADEMY,0,0,0,0,0,0,0,0,32,32,72254,2257.9375,100,56.14035088,56.14035088,0.326,68.42105263,13,6,19,13,6,19,Yahweh Beauty Academy,431 North 38th Street,Killeen,TX,76543-4153,48,4231300,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, sub-baccalaureate",Not a Land Grant Institution,"Under 1,000",City: Midsize,1,-97.700269,31.112893,4,14,34,11,21,3,11,34,11,21,1,10,11,11,8,33,91,32,100,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247834,COLLIN COUNTY COMMUNITY COLLEGE DISTRICT,0,0,0,0,0,0,0,0,6745,15501,5395456,799.9193477,43.51332172,13.97203521,32.10978767,0.294,60.4892513,4756,10745,15501,4080,2665,6745,Collin County Community College District,3452 Spur 399,McKinney,TX,75069,48,2361400,"Public, 4-year or above",Four or more years,Public,"Degree-granting, not primarily baccalaureate or above",Not a Land Grant Institution,"20,000 and above",Suburb: Midsize,1,-96.63894,33.16241,3125,3245,0,0,0,3125,3243,0,0,0,2074,2155,0,0,0,66,66,NA,NA,NA,3252,3456,3462,3295,3273,12081,13326,13594,13527,11961,2342,2482,0,0,0,2342,2480,0,0,0,1241,1294,0,0,0,53,52,NA,NA,NA
448196,"TEXAS HEALTH SCHOOL, L.P.",0,0,0,0,0,0,0,0,86,86,98700,1147.674419,100,39.44954128,39.44954128,0.312,96.51162791,83,NA,86,83,NA,86,Texas Health School,11511 Katy Fwy Ste 200,Houston,TX,77079,48,3987300,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, sub-baccalaureate",Not a Land Grant Institution,"Under 1,000",City: Large,1,-95.586269,29.783709,27,15,14,8,31,27,15,14,8,31,22,13,12,7,27,81,87,86,88,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,4,10,12,2,0,4,10,12,2,0,2,7,11,100,NA,50,70,92
116350,"INTERNATIONAL SCHOOL OF COSMETOLOGY, INC.",0,0,0,0,0,0,0,0,198,198,272633,1376.934343,100,61.68224299,61.68224299,0.433,62.12121212,123,75,198,123,75,198,International School of Cosmetology,464 N. Fairfax Ave,Los Angeles,CA,90036,6,2255400,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, sub-baccalaureate",Not a Land Grant Institution,"Under 1,000",City: Large,1,-118.361176,34.080053,66,23,20,17,9,66,23,20,17,9,49,16,12,8,5,74,70,60,47,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246345,HOUSTON GRADUATE SCHOOL OF THEOLOGY,0,0,0,0,0,0,0,0,10,134,21242,2124.2,7.462686567,6.578947368,88.15789474,NA,NA,0,0,0,0,0,0,Houston Graduate School of Theology,4300C West Bellfort,Houston,TX,77035-3602,48,2320200,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,"Degree-granting, graduate with no undergraduate degrees",Not a Land Grant Institution,"Under 1,000",City: Large,1,-95.448846,29.673594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228185,SOUTH TEXAS BARBER COLLEGE INC.,0,0,0,0,0,0,0,0,17,22,19200,1129.411765,77.27272727,25.75757576,33.33333333,0.69,100,22,0,22,17,0,17,South Texas Barber College Inc,3917 Ayers,Corpus Christi,TX,78415,48,3922300,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, sub-baccalaureate",Not a Land Grant Institution,"Under 1,000",City: Large,1,-97.417156,27.754868,19,6,12,7,5,19,6,12,7,5,10,6,12,6,5,53,100,100,86,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
227289,OBLATE SCHOOL OF THEOLOGY,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Oblate School of Theology,285 Oblate Dr,San Antonio,TX,78216-6693,48,359500,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,"Degree-granting, graduate with no undergraduate degrees",Not a Land Grant Institution,"Under 1,000",City: Large,1,-98.503113,29.505434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369686,"THE FIRST EDUCATORS, INC",0,0,0,0,0,0,0,0,85,330,0,0,25.75757576,33.46456693,129.9212598,0.949,100,330,0,330,85,0,85,Northwest Educational Center,2910 Antoine B-100,Houston,TX,77092,48,3303300,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, sub-baccalaureate",Not a Land Grant Institution,"Under 1,000",City: Large,1,-95.473149,29.813796,132,152,176,41,37,130,152,176,41,37,94,130,141,34,30,72,86,80,83,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458098,"SPA A SCHOOL DALLAS, INC",0,0,0,0,0,0,0,0,78,78,99559,1276.397436,100,42.85714286,42.85714286,0.6,70.51282051,55,23,78,55,23,78,The Salon Professional Academy-Lewisville,2440 B S Stemmons Fwy,Lewisville,TX,75067,48,4165800,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, sub-baccalaureate",Not a Land Grant Institution,"Under 1,000",Suburb: Large,1,-96.964907,33.005024,8,20,13,16,27,8,20,13,16,27,7,19,11,14,20,88,95,85,88,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3,0,1,1,1,3,0,0,0,0,1,NA,0,0,0,33
228778,THE UNIVERSITY OF TEXAS AT AUSTIN,1,0,0,0,0,1,1,0,15099,32423,19731161,1306.785946,46.56879376,NA,NA,NA,73.51201905,17790,7525,25315,9572,3449,13021,The University of Texas at Austin,110 Inner Campus Drive,Austin,TX,78705,48,365800,"Public, 4-year or above",Four or more years,Public,"Degree-granting, primarily baccalaureate or above",Not a Land Grant Institution,"20,000 and above",City: Large,1,-97.738273,30.282825,8570,8238,8817,8007,8318,8570,8238,8817,8007,8318,8103,7822,8437,7739,8021,95,95,96,97,96,8238,8817,8007,8318,8915,10671,10664,9873,10198,11135,149,143,143,163,141,149,143,143,163,141,129,127,118,153,124,87,89,83,94,88
409315,SOUTH TEXAS COLLEGE,1,0,0,0,0,0,1,0,11314,15872,10531295,930.8197808,71.2827621,25.98470407,36.45299832,0.798,87.88226975,13803,2069,15872,9943,1371,11314,South Texas College,3201 W Pecan,McAllen,TX,78502-9701,48,3103400,"Public, 4-year or above",Four or more years,Public,"Degree-granting, not primarily baccalaureate or above",Not a Land Grant Institution,"20,000 and above",City: Midsize,1,-98.253634,26.217591,46,46,53,42,55,46,46,53,42,55,32,33,34,23,31,70,72,64,55,56,3167,2928,3088,1770,1802,9937,9563,9952,6834,6255,32,26,44,34,55,32,26,44,34,55,19,12,23,18,26,59,46,52,53,47
223083,"VHS SAN ANTONIO PARTNERS, LLC DBA BAPTIST HEALTH SYSTEM SCHO",0,0,0,0,0,0,0,0,419,502,265809,634.3890215,83.46613546,40.32723773,48.31568816,NA,53.46062053,267,235,502,224,195,419,Baptist Health System School of Health Professions,8400 Datapoint Dr,San Antonio,TX,78229,48,660600,"Private for-profit, 4-year or above",Four or more years,Private for-profit,"Degree-granting, not primarily baccalaureate or above",Not a Land Grant Institution,"Under 1,000",City: Large,1,-98.567486,29.517063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222628,AMBERTON UNIVERSITY,0,0,0,0,0,0,0,0,32,69,67757,2117.40625,46.37681159,1.56097561,3.365853659,NA,NA,0,0,0,0,0,0,Amberton University,1700 Eastgate Dr,Garland,TX,75041-5595,48,2259400,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",Not a Land Grant Institution,"1,000 - 4,999",Suburb: Large,1,-96.65302,32.859931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228200,STVT-AAI EDUCATION INC.,0,0,0,0,0,0,0,0,322,322,727561.47,2259.507671,100,42.87616511,42.87616511,0.855,77.63975155,250,72,322,250,72,322,South Texas Vocational Technical Institute-Weslaco,"1600 North Westgate Drive, Suite 400",Weslaco,TX,78599,48,2548800,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, sub-baccalaureate",Not a Land Grant Institution,"Under 1,000",Suburb: Large,1,-98.006077,26.176606,188,177,89,97,61,188,177,89,97,61,144,118,56,67,43,77,67,63,69,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,0,1,NA,NA,NA,0,0,NA,NA,NA,NA,0
227854,ST. PHILIP'S COLLEGE - ALAMO COLLEGES DISTRICT,1,1,0,0,0,0,0,0,2740,4790,3427506,1250.914599,57.20250522,13.1163236,22.9296314,0.684,97.15328467,3786,1004,4790,2662,78,2740,St Philip's College,1801 Martin Luther King Dr,San Antonio,TX,78203-2098,48,360800,"Public, 2-year",At least 2 but less than 4 years,Public,"Degree-granting, associate's and certificates",Not a Land Grant Institution,"10,000 - 19,999",City: Large,1,-98.453285,29.41508,292,322,329,539,362,292,322,329,539,362,183,180,204,295,226,63,56,62,55,62,322,329,539,362,385,1693,1659,2363,1907,2334,676,700,674,765,900,676,700,674,765,900,276,280,285,259,275,41,40,42,34,31
