MSI_Type,totalIhe,totalaward,totalStudentAward,totalStudents,eligibleStudents,studentRecipients,totalStudentDistribution,totalAwardsDistributedToStudents,avgDistributedPerStudent,avgPercentRecipients
Not an MSI,173,247464453,117802979,460460,456779,103282,118305350.75000003,100.42645080308202,1145.4595258612346,22.61093439059151
All MSIs,95,827206464,359602899,1425968,787618,401919,418898274.09000003,116.48912599283578,1042.2455123793602,51.02968698023661
NA,1,20861967,9752932,25659,44811,4937,6806225,69.78644985938588,1378.6155560056714,11.017384124433732
HBCU,9,105408335,19619226,47958,26096,18827,28850421.41,147.05178180831396,1532.396101874967,72.14515634580012
AANAPII,7,130830533,62012435,208510,119450,73197,72575772.21000001,117.03422420035596,991.5129337267922,61.278359146086224
HSI,86,724021927,340127466,1377831,761133,383363,389491887.79,114.51350647171788,1015.9871656628313,50.36741279119418
