UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
188003,"R",155,"R",304,"R",51,"R",142,"R",0,"R",0,"R",142,"R",69,"R",49,"R",23,"R",0,"R",0,"R",23,"R",3,"R",13,"R",19
188021,"R",40,"R",141,"R",28,"R",51,"R",0,"R",0,"R",51,"R",22,"R",43,"R",16,"R",0,"R",0,"R",16,"R",2,"R",13,"R",14
188030,"R",2033,"R",2616,"R",78,"R",1825,"R",0,"R",0,"R",1825,"R",1348,"R",74,"R",16,"R",0,"R",0,"R",16,"R",6,"R",38,"R",17
188049,"R",229,"R",336,"R",68,"R",223,"R",0,"R",0,"R",223,"R",134,"R",60,"R",58,"R",0,"R",0,"R",58,"R",15,"R",26,"R",26
188058,"R",135,"R",253,"R",53,"R",69,"R",0,"R",0,"R",69,"R",40,"R",58,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",11
188100,"R",515,"R",1326,"R",39,"R",652,"R",0,"R",0,"R",652,"R",396,"R",61,"R",166,"R",0,"R",0,"R",166,"R",71,"R",43,"R",17
188137,"R",359,"R",1491,"R",24,"R",335,"R",0,"R",0,"R",335,"R",212,"R",63,"R",225,"R",0,"R",0,"R",225,"R",82,"R",36,"R",14
188146,"A",,"A",,"A",,"R",208,"R",0,"R",0,"R",208,"R",1,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"R",6
188182,"R",95,"R",222,"R",43,"R",96,"R",0,"R",0,"R",96,"R",45,"R",47,"R",22,"R",0,"R",0,"R",22,"R",16,"R",73,"R",14
188216,"R",110,"R",150,"R",73,"R",97,"R",0,"R",0,"R",97,"R",45,"R",46,"R",8,"R",0,"R",0,"R",8,"R",3,"R",38,"R",16
188225,"R",69,"R",146,"R",47,"R",104,"R",0,"R",0,"R",104,"R",46,"R",44,"R",11,"R",0,"R",0,"R",11,"R",4,"R",36,"R",22
188261,"R",37,"R",336,"R",11,"R",57,"R",0,"R",0,"R",57,"R",44,"R",77,"R",50,"Z",0,"R",0,"R",50,"R",23,"R",46,"R",18
188289,"A",,"A",,"A",,"R",24,"Z",0,"Z",0,"R",24,"R",20,"R",83,"R",6,"Z",0,"Z",0,"R",6,"R",5,"R",83,"R",11
188304,"R",278,"R",520,"R",53,"R",153,"R",0,"R",0,"R",153,"R",96,"R",63,"R",13,"R",0,"R",0,"R",13,"R",1,"R",8,"R",15
188340,"R",244,"R",430,"R",57,"R",77,"Z",0,"Z",0,"R",77,"R",59,"R",77,"R",4,"Z",0,"Z",0,"R",4,"R",1,"R",25,"R",14
188429,"R",1121,"R",1671,"R",67,"R",1215,"R",0,"Z",0,"R",1215,"R",970,"R",80,"R",11,"R",0,"R",0,"R",11,"R",5,"R",45,"R",11
188438,"R",869,"R",1178,"R",74,"R",803,"Z",0,"Z",0,"R",803,"R",508,"R",63,"R",122,"Z",0,"Z",0,"R",122,"R",37,"R",30,"R",17
188517,"R",41,"R",110,"R",37,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",8
188526,"R",185,"R",310,"R",60,"R",153,"R",0,"R",0,"R",153,"R",123,"R",80,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",9
188641,"R",418,"R",571,"R",73,"R",417,"R",0,"R",0,"R",417,"R",283,"R",68,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
188650,"A",,"A",,"A",,"R",99,"R",0,"R",0,"R",99,"R",71,"R",72,"A",,"A",,"A",,"A",,"A",,"A",,"R",18
188669,"A",,"A",,"A",,"R",40,"R",0,"R",0,"R",40,"R",32,"R",80,"A",,"A",,"A",,"A",,"A",,"A",,"R",3
188678,"R",107,"R",135,"R",79,"R",113,"Z",0,"Z",0,"R",113,"R",106,"R",94,"A",,"A",,"A",,"A",,"A",,"A",,"R",8
188687,"R",12,"R",117,"R",10,"R",16,"R",3,"R",0,"R",13,"R",5,"R",38,"R",36,"R",7,"R",0,"R",29,"R",13,"R",45,"R",25
188696,"A",,"A",,"A",,"R",93,"R",0,"R",0,"R",93,"R",54,"R",58,"A",,"A",,"A",,"A",,"A",,"A",,"R",18
188854,"R",563,"R",570,"R",99,"R",163,"R",0,"R",0,"R",163,"R",117,"R",72,"A",,"A",,"A",,"A",,"A",,"A",,"R",19
188890,"A",,"A",,"A",,"R",801,"R",1,"R",0,"R",800,"R",454,"R",57,"R",284,"R",2,"Z",0,"R",282,"R",168,"R",60,"R",11
188915,"A",,"A",,"A",,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",6
188942,"R",54,"R",128,"R",42,"R",48,"R",0,"R",0,"R",48,"R",39,"R",81,"A",,"A",,"A",,"A",,"A",,"A",,"R",13
189088,"R",470,"R",591,"R",80,"R",499,"Z",0,"Z",0,"R",499,"R",412,"R",83,"A",,"A",,"A",,"A",,"A",,"A",,"R",9
189097,"R",595,"R",683,"R",87,"R",592,"R",0,"R",0,"R",592,"R",565,"R",95,"R",13,"R",0,"R",0,"R",13,"R",11,"R",85,"R",10
189219,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",14
189228,"R",397,"R",877,"R",45,"R",245,"R",1,"R",0,"R",244,"R",132,"R",54,"R",18,"R",0,"R",0,"R",18,"R",6,"R",33,"R",21
189264,"R",1,"R",5,"R",20,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"R",2
189273,"R",20,"R",29,"R",69,"R",11,"Z",0,"Z",0,"R",11,"R",8,"R",73,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
189282,"R",1,"R",55,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",7
189404,"A",,"A",,"A",,"R",5,"R",0,"R",0,"R",5,"R",4,"R",80,"R",16,"R",0,"R",0,"R",16,"R",15,"R",94,"R",9
189413,"R",130,"R",200,"R",65,"R",112,"R",0,"R",0,"R",112,"R",62,"R",55,"A",,"A",,"A",,"A",,"A",,"A",,"R",20
189459,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3
189468,"A",,"A",,"A",,"R",28,"R",0,"R",0,"R",28,"R",21,"R",75,"R",20,"R",0,"R",0,"R",20,"R",16,"R",80,"R",20
189477,"A",,"A",,"A",,"R",55,"R",0,"R",0,"R",55,"R",43,"R",78,"R",86,"R",0,"R",0,"R",86,"R",64,"R",74,"R",19
189547,"R",1673,"R",2207,"R",76,"R",1707,"Z",0,"Z",0,"R",1707,"R",854,"R",50,"R",124,"Z",0,"Z",0,"R",124,"R",54,"R",44,"R",20
189556,"R",15,"R",77,"R",19,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",9
189565,"R",19,"R",73,"R",26,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",10
189574,"R",89,"R",182,"R",49,"R",106,"R",0,"R",0,"R",106,"R",29,"R",27,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",13
189583,"R",53,"R",156,"R",34,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",12
