"","UNITID","XGRCOHRT","GRCOHRT","XUGENTER","UGENTERN","XPGRCOHR","PGRCOHRT","XRRFTCT","RRFTCT","XRRFTEX","RRFTEX","XRRFTIN","RRFTIN","XRRFTCTA","RRFTCTA","XRET_NMF","RET_NMF","XRET_PCF","RET_PCF","XRRPTCT","RRPTCT","XRRPTEX","RRPTEX","XRRPTIN","RRPTIN","XRRPTCTA","RRPTCTA","XRET_NMP","RET_NMP","XRET_PCP","RET_PCP","XSTUFACR","STUFACR","Year"
"4214",407054,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",15,2017
"4215",407090,"A",NA,"A",NA,"A",NA,"R",8,"Z",0,"Z",0,"R",8,"R",7,"R",88,"R",24,"Z",0,"Z",0,"R",24,"R",19,"R",79,"R",16,2017
"4216",407142,"A",NA,"A",NA,"A",NA,"R",13,"R",0,"R",0,"R",13,"R",12,"R",92,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",17,2017
"4217",407151,"A",NA,"A",NA,"A",NA,"R",17,"R",1,"Z",0,"R",16,"R",10,"R",63,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",12,2017
"4218",407179,"A",NA,"A",NA,"A",NA,"R",28,"R",0,"Z",0,"R",28,"R",22,"R",79,"R",18,"R",0,"Z",0,"R",18,"R",7,"R",39,"R",17,2017
"4219",407328,"A",NA,"A",NA,"A",NA,"R",24,"R",0,"R",0,"R",24,"R",15,"R",63,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",10,2017
"4220",407355,"A",NA,"A",NA,"A",NA,"R",35,"R",0,"R",0,"R",35,"R",31,"R",89,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",20,2017
"4221",407391,"A",NA,"A",NA,"A",NA,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",9,2017
"4222",407407,"A",NA,"A",NA,"A",NA,"R",11,"R",0,"R",0,"R",11,"R",9,"R",82,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",14,2017
"4223",407425,"A",NA,"A",NA,"A",NA,"R",4,"R",0,"R",0,"R",4,"R",2,"R",50,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"R",13,2017
"4224",407434,"A",NA,"A",NA,"A",NA,"R",29,"R",0,"R",0,"R",29,"R",28,"R",97,"R",12,"R",0,"R",0,"R",12,"R",10,"R",83,"R",7,2017
"4225",407461,"A",NA,"A",NA,"A",NA,"R",61,"R",0,"R",0,"R",61,"R",50,"R",82,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",5,2017
"4226",407470,"A",NA,"A",NA,"A",NA,"R",41,"R",0,"Z",0,"R",41,"R",20,"R",49,"R",16,"R",0,"Z",0,"R",16,"R",9,"R",56,"R",18,2017
"4227",407489,"A",NA,"A",NA,"A",NA,"R",21,"R",0,"R",0,"R",21,"R",18,"R",86,"R",31,"R",0,"R",0,"R",31,"R",31,"R",100,"R",4,2017
"4228",407513,"A",NA,"A",NA,"A",NA,"R",43,"R",0,"R",0,"R",43,"R",36,"R",84,"R",68,"R",0,"R",0,"R",68,"R",56,"R",82,"R",11,2017
"4229",407522,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",5,2017
"4230",407568,"A",NA,"A",NA,"A",NA,"R",13,"Z",0,"Z",0,"R",13,"R",9,"R",69,"R",3,"Z",0,"Z",0,"R",3,"R",2,"R",67,"R",21,2017
"4231",407577,"A",NA,"A",NA,"A",NA,"R",69,"R",0,"R",0,"R",69,"R",39,"R",57,"R",21,"R",0,"R",0,"R",21,"R",10,"R",48,"R",15,2017
"4232",407595,"A",NA,"A",NA,"A",NA,"R",35,"R",0,"R",0,"R",35,"R",31,"R",89,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",7,2017
"4233",407601,"A",NA,"A",NA,"A",NA,"R",2,"Z",0,"Z",0,"R",2,"R",1,"R",50,"R",3,"Z",0,"Z",0,"R",3,"R",3,"R",100,"R",5,2017
"4234",407610,"R",5,"R",7,"R",71,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",2,"R",0,"R",0,"R",2,"R",0,"R",0,"R",2,2017
"4235",407683,"A",NA,"A",NA,"A",NA,"R",28,"R",0,"R",0,"R",28,"R",26,"R",93,"R",48,"R",0,"R",0,"R",48,"R",22,"R",46,"R",17,2017
"4236",407708,"A",NA,"A",NA,"A",NA,"R",42,"Z",0,"Z",0,"R",42,"R",31,"R",74,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",20,2017
"4237",407735,"A",NA,"A",NA,"A",NA,"R",17,"R",0,"Z",0,"R",17,"R",10,"R",59,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",13,2017
"4238",407832,"A",NA,"A",NA,"A",NA,"R",116,"R",0,"R",0,"R",116,"R",92,"R",79,"R",31,"R",0,"R",0,"R",31,"R",24,"R",77,"R",10,2017
"4239",408039,"N",6,"N",18,"N",33,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"N",15,2017
"4240",408066,"A",NA,"A",NA,"A",NA,"R",27,"R",0,"R",0,"R",27,"R",21,"R",78,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",15,2017
"4241",408163,"A",NA,"A",NA,"A",NA,"R",9,"R",0,"R",0,"R",9,"R",7,"R",78,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",8,2017
"4242",408312,"A",NA,"A",NA,"A",NA,"R",21,"R",0,"R",0,"R",21,"R",10,"R",48,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,2017
"4243",408385,"A",NA,"A",NA,"A",NA,"R",600,"Z",0,"Z",0,"R",600,"R",375,"R",63,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",29,2017
"4244",408729,"R",30,"R",53,"R",57,"R",34,"Z",0,"Z",0,"R",34,"R",17,"R",50,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",8,2017
"4245",408844,"R",472,"R",1149,"R",41,"R",71,"R",0,"R",0,"R",71,"R",69,"R",97,"R",39,"R",0,"R",0,"R",39,"R",37,"R",95,"R",31,2017
"4246",408862,"A",NA,"A",NA,"A",NA,"R",23,"R",0,"R",0,"R",23,"R",19,"R",83,"R",67,"R",0,"R",0,"R",67,"R",54,"R",81,"R",20,2017
"4247",409032,"A",NA,"A",NA,"A",NA,"R",78,"R",0,"R",0,"R",78,"R",66,"R",85,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",1,2017
"4248",409120,"A",NA,"A",NA,"A",NA,"R",55,"Z",0,"Z",0,"R",55,"R",40,"R",73,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",10,2017
"4249",409193,"A",NA,"A",NA,"A",NA,"R",20,"R",0,"R",0,"R",20,"R",17,"R",85,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",20,2017
"4250",409315,"R",3167,"R",9937,"R",32,"R",46,"R",0,"R",0,"R",46,"R",32,"R",70,"R",32,"R",0,"R",0,"R",32,"R",19,"R",59,"R",22,2017
"4251",409537,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",10,2017
"4252",409591,"A",NA,"A",NA,"A",NA,"R",23,"R",0,"Z",0,"R",23,"R",13,"R",57,"R",36,"R",0,"R",0,"R",36,"R",31,"R",86,"R",9,2017
"4253",409698,"R",922,"R",2033,"R",45,"R",799,"Z",0,"Z",0,"R",799,"R",631,"R",79,"R",3,"Z",0,"Z",0,"R",3,"R",2,"R",67,"R",25,2017
"4254",410283,"N",12,"N",16,"N",75,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"N",12,2017
"4255",410496,"R",11,"R",45,"R",24,"R",39,"R",0,"R",0,"R",39,"R",9,"R",23,"R",4,"R",0,"R",0,"R",4,"R",0,"R",0,"R",4,2017
"4256",410502,"R",58,"R",218,"R",27,"R",41,"Z",0,"Z",0,"R",41,"R",29,"R",71,"R",39,"Z",0,"Z",0,"R",39,"R",15,"R",38,"R",17,2017
"4257",410797,"A",NA,"A",NA,"A",NA,"R",61,"R",0,"R",0,"R",61,"R",40,"R",66,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",9,2017
"4258",410964,"A",NA,"A",NA,"A",NA,"R",5,"R",0,"R",0,"R",5,"R",5,"R",100,"R",5,"R",0,"R",0,"R",5,"R",5,"R",100,"R",12,2017
"4259",411684,"A",NA,"A",NA,"A",NA,"R",8,"R",0,"R",0,"R",8,"R",7,"R",88,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",19,2017
"4260",411754,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",9,2017
"4261",412173,"A",NA,"A",NA,"A",NA,"R",9,"R",0,"R",0,"R",9,"R",9,"R",100,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",12,2017
"4262",412535,"A",NA,"A",NA,"A",NA,"R",16,"Z",0,"Z",0,"R",16,"R",11,"R",69,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",18,2017
"4263",412544,"A",NA,"A",NA,"A",NA,"R",23,"R",0,"R",0,"R",23,"R",18,"R",78,"R",3,"R",0,"R",0,"R",3,"R",1,"R",33,"R",9,2017
"4264",412599,"A",NA,"A",NA,"A",NA,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",22,2017
"4265",413176,"A",NA,"A",NA,"A",NA,"R",11,"Z",0,"Z",0,"R",11,"R",9,"R",82,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",10,2017
"4266",413343,"A",NA,"A",NA,"A",NA,"R",6,"R",0,"R",0,"R",6,"R",5,"R",83,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",10,2017
"4267",413413,"R",9,"R",2452,"R",0,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",73,"R",0,"R",0,"R",73,"R",23,"R",32,"R",22,2017
"4268",413617,"R",56,"R",153,"R",37,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",6,2017
"4269",413626,"R",38,"R",70,"R",54,"R",67,"R",0,"R",0,"R",67,"R",28,"R",42,"R",7,"R",0,"R",0,"R",7,"R",2,"R",29,"R",10,2017
"4270",413680,"A",NA,"A",NA,"A",NA,"R",396,"R",0,"R",0,"R",396,"R",281,"R",71,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",18,2017
"4271",413778,"A",NA,"A",NA,"A",NA,"R",118,"R",0,"R",0,"R",118,"R",89,"R",75,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",9,2017
"4272",413802,"A",NA,"A",NA,"A",NA,"R",74,"R",0,"R",0,"R",74,"R",54,"R",73,"R",54,"R",0,"R",0,"R",54,"R",36,"R",67,"R",14,2017
"4273",413820,"A",NA,"A",NA,"A",NA,"R",7,"Z",0,"Z",0,"R",7,"R",5,"R",71,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",4,2017
"4274",413893,"A",NA,"A",NA,"A",NA,"R",126,"R",0,"R",0,"R",126,"R",90,"R",71,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",30,2017
"4275",413945,"A",NA,"A",NA,"A",NA,"R",23,"R",0,"R",0,"R",23,"R",18,"R",78,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",14,2017
"4276",413972,"A",NA,"A",NA,"A",NA,"R",19,"Z",0,"Z",0,"R",19,"R",17,"R",89,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",10,2017
"4277",414063,"A",NA,"A",NA,"A",NA,"R",31,"R",0,"R",0,"R",31,"R",28,"R",90,"R",4,"R",0,"R",0,"R",4,"R",3,"R",75,"R",13,2017
"4278",414124,"A",NA,"A",NA,"A",NA,"R",236,"R",0,"R",0,"R",236,"R",211,"R",89,"R",56,"R",0,"R",0,"R",56,"R",39,"R",70,"R",13,2017
"4279",414461,"R",792,"R",977,"R",81,"R",890,"R",3,"R",0,"R",887,"R",679,"R",77,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",28,2017
"4280",414489,"A",NA,"A",NA,"A",NA,"R",86,"R",0,"R",0,"R",86,"R",66,"R",77,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",15,2017
"4281",414540,"A",NA,"A",NA,"A",NA,"R",76,"R",0,"R",0,"R",76,"R",61,"R",80,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"R",15,2017
"4282",414595,"R",32,"R",98,"R",33,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",9,2017
"4283",414823,"R",318,"R",500,"R",64,"R",308,"R",0,"R",0,"R",308,"R",212,"R",69,"R",82,"R",0,"R",0,"R",82,"R",51,"R",62,"R",18,2017
"4284",414869,"A",NA,"A",NA,"A",NA,"R",4,"R",0,"R",0,"R",4,"R",4,"R",100,"R",16,"R",0,"R",0,"R",16,"R",11,"R",69,"R",9,2017
"4285",414878,"R",1,"R",59,"R",2,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",10,2017
"4286",414911,"R",214,"R",1356,"R",16,"R",210,"R",0,"R",0,"R",210,"R",101,"R",48,"R",55,"R",0,"R",0,"R",55,"R",24,"R",44,"R",18,2017
"4287",414939,"A",NA,"A",NA,"A",NA,"R",64,"R",0,"R",0,"R",64,"R",49,"R",77,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",25,2017
"4288",415039,"A",NA,"A",NA,"A",NA,"R",41,"R",0,"Z",0,"R",41,"R",32,"R",78,"R",7,"R",0,"Z",0,"R",7,"R",5,"R",71,"R",13,2017
"4289",415057,"A",NA,"A",NA,"A",NA,"R",53,"R",0,"R",0,"R",53,"R",53,"R",100,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",13,2017
"4290",415729,"A",NA,"A",NA,"A",NA,"R",5,"Z",0,"Z",0,"R",5,"R",2,"R",40,"R",3,"Z",0,"Z",0,"R",3,"R",3,"R",100,"R",11,2017
"4291",415987,"A",NA,"A",NA,"A",NA,"R",45,"R",0,"R",0,"R",45,"R",35,"R",78,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",17,2017
"4292",416458,"A",NA,"A",NA,"A",NA,"R",120,"R",0,"R",0,"R",120,"R",106,"R",88,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",18,2017
"4293",416670,"A",NA,"A",NA,"A",NA,"R",15,"R",0,"R",0,"R",15,"R",10,"R",67,"R",9,"R",0,"R",0,"R",9,"R",6,"R",67,"R",7,2017
"4294",416801,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",13,2017
"4295",417008,"A",NA,"A",NA,"A",NA,"R",8,"R",0,"R",0,"R",8,"R",6,"R",75,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",21,2017
"4296",417062,"A",NA,"A",NA,"A",NA,"R",19,"R",0,"R",0,"R",19,"R",15,"R",79,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",14,2017
"4297",417105,"A",NA,"A",NA,"A",NA,"R",67,"R",0,"R",0,"R",67,"R",67,"R",100,"R",30,"R",0,"R",0,"R",30,"R",30,"R",100,"R",23,2017
"4298",417123,"A",NA,"A",NA,"A",NA,"R",53,"R",4,"R",0,"R",49,"R",40,"R",82,"R",13,"R",1,"R",0,"R",12,"R",11,"R",92,"R",8,2017
"4299",417248,"A",NA,"A",NA,"A",NA,"R",29,"R",0,"Z",0,"R",29,"R",29,"R",100,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",20,2017
"4300",417318,"A",NA,"A",NA,"A",NA,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",4,2017
"4301",417327,"R",3,"R",25,"R",12,"R",13,"R",0,"R",0,"R",13,"R",3,"R",23,"R",5,"R",0,"R",0,"R",5,"R",3,"R",60,"R",10,2017
"4302",417381,"A",NA,"A",NA,"A",NA,"R",39,"R",0,"Z",0,"R",39,"R",22,"R",56,"R",25,"R",0,"Z",0,"R",25,"R",11,"R",44,"R",13,2017
"4303",417406,"A",NA,"A",NA,"A",NA,"R",3,"R",0,"R",0,"R",3,"R",2,"R",67,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",13,2017
"4304",417442,"A",NA,"A",NA,"A",NA,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",11,2017
"4305",417503,"A",NA,"A",NA,"A",NA,"R",9,"R",0,"R",0,"R",9,"R",7,"R",78,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",6,2017
"4306",417549,"A",NA,"A",NA,"A",NA,"R",104,"R",0,"R",0,"R",104,"R",66,"R",63,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",18,2017
"4307",417600,"A",NA,"A",NA,"A",NA,"R",20,"R",0,"R",0,"R",20,"R",16,"R",80,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",10,2017
"4308",417628,"A",NA,"A",NA,"A",NA,"R",7,"R",0,"R",0,"R",7,"R",7,"R",100,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",3,2017
"4309",417637,"A",NA,"A",NA,"A",NA,"R",41,"R",0,"R",0,"R",41,"R",41,"R",100,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",8,2017
"4310",417646,"A",NA,"A",NA,"A",NA,"R",10,"R",0,"R",0,"R",10,"R",10,"R",100,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",10,2017
"4311",417655,"A",NA,"A",NA,"A",NA,"R",13,"R",0,"R",0,"R",13,"R",9,"R",69,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",6,2017
"4312",417673,"A",NA,"A",NA,"A",NA,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",6,2017
"4313",417682,"A",NA,"A",NA,"A",NA,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",12,2017
"4314",417716,"A",NA,"A",NA,"A",NA,"R",16,"R",0,"R",0,"R",16,"R",14,"R",88,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",13,2017
"4315",417725,"A",NA,"A",NA,"A",NA,"R",9,"R",0,"R",0,"R",9,"R",6,"R",67,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",9,2017
"4316",417734,"R",3,"R",48,"R",6,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",6,2017
"4317",417752,"R",9,"R",14,"R",64,"R",5,"R",0,"R",0,"R",5,"R",2,"R",40,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",5,2017
"4318",417789,"A",NA,"A",NA,"A",NA,"R",24,"R",0,"R",0,"R",24,"R",16,"R",67,"R",11,"R",0,"R",0,"R",11,"R",8,"R",73,"R",8,2017
"4319",417804,"A",NA,"A",NA,"A",NA,"R",49,"R",0,"R",0,"R",49,"R",1,"R",2,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",10,2017
"4320",417831,"A",NA,"A",NA,"A",NA,"R",69,"R",0,"R",0,"R",69,"R",67,"R",97,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",21,2017
"4321",417840,"A",NA,"A",NA,"A",NA,"R",23,"R",0,"R",0,"R",23,"R",18,"R",78,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",25,2017
"4322",417868,"A",NA,"A",NA,"A",NA,"R",39,"R",0,"R",0,"R",39,"R",37,"R",95,"R",19,"R",0,"R",0,"R",19,"R",18,"R",95,"R",2,2017
"4323",417886,"A",NA,"A",NA,"A",NA,"R",9,"R",0,"R",0,"R",9,"R",8,"R",89,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",13,2017
"4324",417910,"A",NA,"A",NA,"A",NA,"R",33,"R",0,"R",0,"R",33,"R",25,"R",76,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",12,2017
"4325",417983,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",48,"R",0,"R",0,"R",48,"R",19,"R",40,"R",5,2017
"4326",417992,"A",NA,"A",NA,"A",NA,"R",3,"R",0,"R",0,"R",3,"R",3,"R",100,"R",6,"R",0,"R",0,"R",6,"R",2,"R",33,"R",14,2017
"4327",418001,"A",NA,"A",NA,"A",NA,"R",23,"R",0,"R",0,"R",23,"R",16,"R",70,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",12,2017
"4328",418010,"A",NA,"A",NA,"A",NA,"R",5,"R",0,"R",0,"R",5,"R",0,"R",0,"R",3,"R",0,"R",0,"R",3,"R",3,"R",100,"R",7,2017
"4329",418029,"A",NA,"A",NA,"A",NA,"R",7,"R",0,"R",0,"R",7,"R",6,"R",86,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",15,2017
"4330",418038,"A",NA,"A",NA,"A",NA,"R",21,"R",0,"R",0,"R",21,"R",17,"R",81,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",35,2017
"4331",418056,"A",NA,"A",NA,"A",NA,"R",21,"R",0,"R",0,"R",21,"R",14,"R",67,"R",4,"R",0,"R",0,"R",4,"R",0,"R",0,"R",9,2017
"4332",418065,"A",NA,"A",NA,"A",NA,"R",82,"Z",0,"Z",0,"R",82,"R",63,"R",77,"R",26,"Z",0,"Z",0,"R",26,"R",13,"R",50,"R",20,2017
"4333",418083,"A",NA,"A",NA,"A",NA,"R",41,"R",0,"R",0,"R",41,"R",31,"R",76,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",24,2017
"4334",418126,"R",23,"R",130,"R",18,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",9,2017
"4335",418171,"A",NA,"A",NA,"A",NA,"R",16,"R",0,"R",0,"R",16,"R",14,"R",88,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",21,2017
"4336",418199,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",18,2017
"4337",418205,"A",NA,"A",NA,"A",NA,"R",64,"R",0,"R",0,"R",64,"R",60,"R",94,"R",6,"R",0,"R",0,"R",6,"R",5,"R",83,"R",12,2017
"4338",418223,"A",NA,"A",NA,"A",NA,"R",56,"R",0,"R",0,"R",56,"R",44,"R",79,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",4,2017
"4339",418250,"A",NA,"A",NA,"A",NA,"R",102,"R",0,"R",0,"R",102,"R",71,"R",70,"R",59,"R",0,"R",0,"R",59,"R",45,"R",76,"R",11,2017
"4340",418269,"A",NA,"A",NA,"A",NA,"R",34,"R",0,"R",0,"R",34,"R",32,"R",94,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",8,2017
"4341",418278,"A",NA,"A",NA,"A",NA,"R",4,"R",0,"R",0,"R",4,"R",4,"R",100,"R",7,"R",0,"R",0,"R",7,"R",5,"R",71,"R",10,2017
"4342",418296,"A",NA,"A",NA,"A",NA,"R",93,"R",0,"R",0,"R",93,"R",91,"R",98,"R",212,"R",0,"R",0,"R",212,"R",200,"R",94,"R",18,2017
"4343",418302,"A",NA,"A",NA,"A",NA,"R",46,"R",0,"R",0,"R",46,"R",27,"R",59,"R",39,"R",0,"R",0,"R",39,"R",27,"R",69,"R",8,2017
"4344",418320,"A",NA,"A",NA,"A",NA,"R",23,"R",0,"R",0,"R",23,"R",10,"R",43,"R",90,"R",0,"R",0,"R",90,"R",53,"R",59,"R",9,2017
"4345",418339,"A",NA,"A",NA,"A",NA,"R",21,"R",0,"R",0,"R",21,"R",12,"R",57,"R",38,"R",0,"R",0,"R",38,"R",22,"R",58,"R",12,2017
"4346",418348,"A",NA,"A",NA,"A",NA,"R",35,"R",0,"R",0,"R",35,"R",23,"R",66,"R",37,"R",0,"R",0,"R",37,"R",21,"R",57,"R",11,2017
"4347",418357,"A",NA,"A",NA,"A",NA,"R",23,"R",0,"R",0,"R",23,"R",4,"R",17,"R",4,"R",0,"R",0,"R",4,"R",0,"R",0,"R",9,2017
"4348",418409,"A",NA,"A",NA,"A",NA,"R",53,"R",0,"R",0,"R",53,"R",35,"R",66,"R",23,"R",0,"R",0,"R",23,"R",17,"R",74,"R",10,2017
"4349",418427,"A",NA,"A",NA,"A",NA,"R",13,"R",0,"R",0,"R",13,"R",9,"R",69,"R",11,"R",0,"R",0,"R",11,"R",6,"R",55,"R",10,2017
"4350",418445,"A",NA,"A",NA,"A",NA,"R",10,"R",1,"R",0,"R",9,"R",7,"R",78,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",7,2017
"4351",418454,"A",NA,"A",NA,"A",NA,"R",74,"R",0,"R",0,"R",74,"R",55,"R",74,"R",11,"R",0,"R",0,"R",11,"R",9,"R",82,"R",11,2017
"4352",418481,"A",NA,"A",NA,"A",NA,"R",25,"R",0,"R",0,"R",25,"R",20,"R",80,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",15,2017
"4353",418515,"A",NA,"A",NA,"A",NA,"R",84,"R",0,"R",0,"R",84,"R",58,"R",69,"R",13,"R",0,"R",0,"R",13,"R",9,"R",69,"R",10,2017
"4354",418524,"A",NA,"A",NA,"A",NA,"R",23,"R",0,"R",0,"R",23,"R",11,"R",48,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",14,2017
"4355",418533,"A",NA,"A",NA,"A",NA,"R",171,"R",1,"Z",0,"R",170,"R",153,"R",90,"R",151,"R",0,"R",0,"R",151,"R",135,"R",89,"R",23,2017
