"","UNITID","XGRCOHRT","GRCOHRT","XUGENTER","UGENTERN","XPGRCOHR","PGRCOHRT","XRRFTCT","RRFTCT","XRRFTEX","RRFTEX","XRRFTIN","RRFTIN","XRRFTCTA","RRFTCTA","XRET_NMF","RET_NMF","XRET_PCF","RET_PCF","XRRPTCT","RRPTCT","XRRPTEX","RRPTEX","XRRPTIN","RRPTIN","XRRPTCTA","RRPTCTA","XRET_NMP","RET_NMP","XRET_PCP","RET_PCP","XSTUFACR","STUFACR","Year"
"32",101541,"R",65,"R",106,"R",61,"R",84,"R",0,"R",0,"R",84,"R",49,"R",58,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",6,2017
"33",101569,"R",715,"R",1411,"R",51,"R",638,"R",0,"R",0,"R",638,"R",329,"R",52,"R",198,"R",0,"R",0,"R",198,"R",70,"R",35,"R",18,2017
"34",101587,"R",460,"R",735,"R",63,"R",373,"R",0,"R",0,"R",373,"R",245,"R",66,"R",4,"R",0,"R",0,"R",4,"R",3,"R",75,"R",13,2017
"35",101602,"R",415,"R",920,"R",45,"R",414,"R",0,"R",0,"R",414,"R",272,"R",66,"R",39,"R",0,"R",0,"R",39,"R",23,"R",59,"R",17,2017
"36",101648,"R",281,"R",304,"R",92,"R",275,"R",0,"R",0,"R",275,"R",109,"R",40,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",16,2017
"37",101675,"R",307,"R",440,"R",70,"R",428,"R",0,"R",0,"R",428,"R",214,"R",50,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",15,2017
"38",101693,"R",227,"R",518,"R",44,"R",224,"R",1,"R",0,"R",223,"R",153,"R",69,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",14,2017
"39",101709,"R",482,"R",649,"R",74,"R",473,"R",0,"R",0,"R",473,"R",367,"R",78,"R",4,"R",0,"R",0,"R",4,"R",2,"R",50,"R",14,2017
"40",101736,"R",677,"R",1427,"R",47,"R",751,"R",0,"R",0,"R",751,"R",430,"R",57,"R",237,"R",0,"R",0,"R",237,"R",95,"R",40,"R",20,2017
"41",101879,"R",1108,"R",1772,"R",63,"R",1177,"R",0,"R",0,"R",1177,"R",892,"R",76,"R",19,"R",0,"R",0,"R",19,"R",11,"R",58,"R",18,2017
"42",101897,"R",496,"R",1165,"R",43,"R",491,"R",0,"R",0,"R",491,"R",303,"R",62,"R",128,"R",0,"R",0,"R",128,"R",57,"R",45,"R",18,2017
"43",101912,"R",366,"R",450,"R",81,"R",390,"R",0,"R",0,"R",390,"R",273,"R",70,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",12,2017
"44",101949,"R",267,"R",480,"R",56,"R",375,"R",0,"R",0,"R",375,"R",202,"R",54,"R",45,"R",0,"R",0,"R",45,"R",14,"R",31,"R",17,2017
"45",101994,"R",55,"R",187,"R",29,"R",66,"R",0,"R",0,"R",66,"R",31,"R",47,"R",10,"R",0,"R",0,"R",10,"R",5,"R",50,"R",12,2017
"46",102030,"R",647,"R",1527,"R",42,"R",597,"R",0,"R",0,"R",597,"R",296,"R",50,"R",151,"R",0,"R",0,"R",151,"R",45,"R",30,"R",18,2017
"47",102049,"R",857,"R",990,"R",87,"R",916,"R",0,"R",0,"R",916,"R",797,"R",87,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",12,2017
"48",102058,"R",50,"R",191,"R",26,"R",49,"R",0,"R",0,"R",49,"R",16,"R",33,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",13,2017
"49",102067,"R",795,"R",1673,"R",48,"R",613,"R",0,"R",0,"R",613,"R",373,"R",61,"R",405,"R",0,"R",0,"R",405,"R",170,"R",42,"R",21,2017
"50",102076,"R",539,"R",986,"R",55,"R",569,"R",0,"R",0,"R",569,"R",348,"R",61,"R",67,"R",0,"R",0,"R",67,"R",23,"R",34,"R",20,2017
"51",102094,"R",1870,"R",2900,"R",64,"R",1955,"R",0,"R",0,"R",1955,"R",1517,"R",78,"R",41,"R",0,"R",0,"R",41,"R",25,"R",61,"R",18,2017
"52",102234,"R",395,"R",439,"R",90,"R",392,"R",0,"R",0,"R",392,"R",308,"R",79,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",14,2017
"53",102270,"R",118,"R",281,"R",42,"R",125,"R",0,"R",0,"R",125,"R",65,"R",52,"R",4,"R",0,"R",0,"R",4,"R",1,"R",25,"R",16,2017
"54",102298,"R",157,"R",228,"R",69,"R",25,"R",0,"R",0,"R",25,"R",16,"R",64,"R",1,"Z",0,"Z",0,"R",1,"R",1,"R",100,"R",16,2017
"55",102313,"R",289,"R",843,"R",34,"R",235,"R",0,"R",0,"R",235,"R",142,"R",60,"R",116,"R",0,"R",0,"R",116,"R",50,"R",43,"R",15,2017
"56",102368,"R",1899,"R",3882,"R",49,"R",1798,"R",0,"R",0,"R",1798,"R",1259,"R",70,"R",232,"R",1,"R",0,"R",231,"R",85,"R",37,"R",14,2017
